CASE ID,TICKET TYPE,MEMBERSHIP,PRIORITY,RESOURCE OF STARTING ACTIVITY,NUMBER OF ACTIVE CASES AT START,Decision
"Case 3075","Task","Gold","Normal","Res3",21,"False/No-Wait"
"Case 3076","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3077","Question","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3078","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 3079","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 308","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3080","Question","Gold","High","Res4",21,"False/No-Wait"
"Case 3081","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3082","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3083","Incident","Premium","Normal","Res4",21,"True/Wait"
"Case 3084","Question","Gold","Urgent","Res4",21,"False/No-Wait"
"Case 3085","Task","Premium","Normal","Res8",21,"False/No-Wait"
"Case 3086","Question","Gold","High","Res4",21,"False/No-Wait"
"Case 3087","Incident","Gold","High","Res3",21,"False/No-Wait"
"Case 3088","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3089","Question","Premium","High","Res8",21,"True/Wait"
"Case 309","Task","Gold","Normal","Res4",21,"False/No-Wait"
"Case 3090","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 3091","Incident","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3092","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3093","Question","Premium","Normal","Res4",21,"False/No-Wait"
"Case 3094","Question","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3095","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 3096","Task","Premium","Normal","Res8",21,"False/No-Wait"
"Case 3097","Question","Premium","High","Res8",21,"False/No-Wait"
"Case 3098","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3099","Incident","Gold","Normal","Res4",21,"True/Wait"
"Case 31","Task","Premium","High","Res3",21,"False/No-Wait"
"Case 310","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 3100","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3101","Question","Premium","Normal","Res8",21,"False/No-Wait"
"Case 3102","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 3103","Incident","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3104","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3105","Task","Premium","High","Res8",21,"True/Wait"
"Case 3106","Task","Gold","Normal","Res4",21,"False/No-Wait"
"Case 3107","Question","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3108","Question","Gold","Normal","Res3",21,"False/No-Wait"
"Case 3109","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 311","Incident","Gold","High","Res8",21,"False/No-Wait"
"Case 3110","Incident","Premium","Normal","Res4",21,"True/Wait"
"Case 3111","Question","Premium","High","Res4",21,"False/No-Wait"
"Case 3112","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3113","Incident","Premium","Normal","Res3",21,"True/Wait"
"Case 3114","Incident","Premium","High","Res4",21,"True/Wait"
"Case 3115","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3116","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 3117","Question","Gold","High","Res4",21,"False/No-Wait"
"Case 3118","Task","Premium","Urgent","Res4",21,"True/Wait"
"Case 3119","Task","Premium","Urgent","Res8",21,"False/No-Wait"
"Case 312","Question","Gold","High","Res8",21,"False/No-Wait"
"Case 3120","Question","Gold","Normal","Res3",21,"False/No-Wait"
"Case 3121","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3122","Task","Premium","High","Res4",21,"True/Wait"
"Case 3123","Task","Gold","Normal","Res3",21,"False/No-Wait"
"Case 3124","Question","Gold","High","Res8",21,"False/No-Wait"
"Case 3125","Question","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3126","Task","Premium","High","Res4",21,"True/Wait"
"Case 3127","Question","Premium","Normal","Res8",21,"False/No-Wait"
"Case 3128","Incident","Premium","High","Res3",21,"False/No-Wait"
"Case 3129","Question","Premium","Normal","Res4",21,"False/No-Wait"
"Case 313","Task","Gold","Normal","Res8",21,"True/Wait"
"Case 3130","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3131","Question","Premium","High","Res3",21,"True/Wait"
"Case 3132","Question","Gold","High","Res3",21,"False/No-Wait"
"Case 3133","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 3134","Question","Premium","High","Res4",21,"False/No-Wait"
"Case 3135","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 3136","Incident","Premium","High","Res8",21,"False/No-Wait"
"Case 3137","Incident","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3138","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3139","Task","Gold","Normal","Res3",21,"False/No-Wait"
"Case 314","Question","Gold","High","Res3",21,"False/No-Wait"
"Case 3140","Incident","Premium","Urgent","Res8",21,"False/No-Wait"
"Case 3141","Question","Gold","High","Res4",21,"False/No-Wait"
"Case 3142","Task","Gold","Normal","Res8",21,"True/Wait"
"Case 3143","Incident","Premium","Normal","Res8",21,"True/Wait"
"Case 3144","Question","Gold","High","Res4",21,"False/No-Wait"
"Case 3145","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3146","Question","Gold","High","Res3",21,"False/No-Wait"
"Case 3147","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 3148","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 3149","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 315","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 3150","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 3151","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 3152","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3153","Question","Gold","Normal","Res8",21,"True/Wait"
"Case 3154","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3155","Incident","Gold","Normal","Res3",21,"False/No-Wait"
"Case 3156","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 3157","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 3158","Question","Premium","High","Res8",21,"False/No-Wait"
"Case 3159","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 316","Task","Premium","Urgent","Res3",21,"False/No-Wait"
"Case 3160","Task","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3161","Incident","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3162","Task","Gold","Normal","Res3",21,"False/No-Wait"
"Case 3163","Question","Gold","Normal","Res4",21,"True/Wait"
"Case 3164","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 3165","Incident","Gold","High","Res8",21,"False/No-Wait"
"Case 3166","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3167","Question","Gold","Normal","Res3",21,"False/No-Wait"
"Case 3168","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3169","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 317","Task","Gold","High","Res3",21,"False/No-Wait"
"Case 3170","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3171","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 3172","Question","Premium","Normal","Res8",21,"True/Wait"
"Case 3173","Incident","Gold","High","Res4",21,"False/No-Wait"
"Case 3174","Question","Gold","Normal","Res3",21,"False/No-Wait"
"Case 3175","Task","Premium","High","Res3",21,"True/Wait"
"Case 3176","Task","Gold","Normal","Res3",21,"True/Wait"
"Case 3177","Question","Gold","High","Res8",21,"False/No-Wait"
"Case 3178","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3179","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 318","Question","Premium","High","Res8",21,"False/No-Wait"
"Case 3180","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3181","Incident","Premium","Normal","Res8",21,"False/No-Wait"
"Case 3182","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 3183","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3184","Task","Premium","High","Res8",21,"True/Wait"
"Case 3185","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 3186","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3187","Question","Premium","Normal","Res8",21,"False/No-Wait"
"Case 3188","Question","Premium","Urgent","Res8",21,"False/No-Wait"
"Case 3189","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 319","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3190","Incident","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3191","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 3192","Task","Premium","High","Res4",21,"False/No-Wait"
"Case 3193","Question","Gold","High","Res8",21,"False/No-Wait"
"Case 3194","Question","Gold","High","Res3",21,"False/No-Wait"
"Case 3195","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3196","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 3197","Question","Premium","Normal","Res8",21,"False/No-Wait"
"Case 3198","Task","Premium","Normal","Res8",21,"False/No-Wait"
"Case 3199","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 32","Question","Gold","Normal","Res3",21,"False/No-Wait"
"Case 320","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 3200","Question","Gold","Urgent","Res4",21,"False/No-Wait"
"Case 3201","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 3202","Question","Premium","Normal","Res8",21,"False/No-Wait"
"Case 3203","Incident","Premium","High","Res8",21,"False/No-Wait"
"Case 3204","Question","Premium","High","Res8",21,"False/No-Wait"
"Case 3205","Question","Gold","High","Res8",21,"False/No-Wait"
"Case 3206","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 3207","Incident","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3208","Task","Gold","Normal","Res3",21,"False/No-Wait"
"Case 3209","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 321","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 3210","Question","Gold","High","Res3",21,"False/No-Wait"
"Case 3211","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 3212","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 3213","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 3214","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3215","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3216","Incident","Premium","High","Res4",21,"False/No-Wait"
"Case 3217","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 3218","Question","Gold","High","Res3",21,"False/No-Wait"
"Case 3219","Incident","Gold","Normal","Res8",21,"False/No-Wait"
"Case 322","Task","Premium","Urgent","Res4",21,"True/Wait"
"Case 3220","Task","Premium","High","Res4",21,"False/No-Wait"
"Case 3221","Task","Gold","Normal","Res3",21,"False/No-Wait"
"Case 3222","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 3223","Task","Premium","High","Res4",21,"False/No-Wait"
"Case 3224","Question","Gold","Urgent","Res8",21,"False/No-Wait"
"Case 3225","Task","Premium","Normal","Res8",21,"False/No-Wait"
"Case 3226","Question","Premium","High","Res4",21,"False/No-Wait"
"Case 3227","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 3228","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3229","Question","Gold","Normal","Res3",21,"False/No-Wait"
"Case 323","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 3230","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 3231","Task","Premium","Normal","Res8",21,"False/No-Wait"
"Case 3232","Question","Gold","High","Res8",21,"False/No-Wait"
"Case 3233","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 3234","Task","Gold","Normal","Res4",22,"True/Wait"
"Case 3235","Question","Gold","High","Res8",22,"False/No-Wait"
"Case 3236","Question","Gold","Normal","Res8",22,"False/No-Wait"
"Case 3237","Question","Gold","Normal","Res8",22,"False/No-Wait"
"Case 3238","Question","Premium","Normal","Res3",22,"True/Wait"
"Case 3239","Task","Gold","Normal","Res4",22,"False/No-Wait"
"Case 324","Task","Premium","Normal","Res8",22,"False/No-Wait"
"Case 3240","Task","Gold","High","Res3",22,"False/No-Wait"
"Case 3241","Question","Premium","Urgent","Res8",22,"False/No-Wait"
"Case 3242","Question","Gold","Normal","Res3",22,"False/No-Wait"
"Case 3243","Question","Premium","Normal","Res3",22,"False/No-Wait"
"Case 3244","Task","Premium","Normal","Res3",22,"False/No-Wait"
"Case 3245","Question","Gold","High","Res8",22,"False/No-Wait"
"Case 3246","Question","Premium","High","Res4",22,"False/No-Wait"
"Case 3247","Question","Gold","Normal","Res4",22,"False/No-Wait"
"Case 3248","Question","Gold","High","Res8",22,"False/No-Wait"
"Case 3249","Task","Premium","High","Res8",22,"False/No-Wait"
"Case 325","Task","Premium","High","Res3",22,"False/No-Wait"
"Case 3250","Task","Premium","Normal","Res8",22,"True/Wait"
"Case 3251","Task","Premium","High","Res8",22,"True/Wait"
"Case 3252","Task","Premium","Normal","Res8",22,"True/Wait"
"Case 3253","Task","Premium","Normal","Res3",22,"False/No-Wait"
"Case 3254","Task","Premium","Normal","Res3",23,"True/Wait"
"Case 3255","Task","Premium","Normal","Res4",23,"False/No-Wait"
"Case 3256","Question","Premium","Normal","Res3",23,"True/Wait"
"Case 3257","Task","Premium","Normal","Res4",23,"True/Wait"
"Case 3258","Question","Gold","Normal","Res3",23,"False/No-Wait"
"Case 3259","Task","Premium","Normal","Res3",23,"False/No-Wait"
"Case 326","Task","Gold","Normal","Res3",23,"False/No-Wait"
"Case 3260","Question","Gold","Normal","Res3",23,"False/No-Wait"
"Case 3261","Question","Premium","Normal","Res8",23,"False/No-Wait"
"Case 3262","Task","Premium","High","Res8",23,"False/No-Wait"
"Case 3263","Question","Premium","Normal","Res3",23,"False/No-Wait"
"Case 3264","Task","Premium","High","Res8",23,"True/Wait"
"Case 3265","Incident","Premium","High","Res3",23,"False/No-Wait"
"Case 3266","Question","Gold","High","Res4",23,"False/No-Wait"
"Case 3267","Question","Gold","Normal","Res8",23,"False/No-Wait"
"Case 3268","Question","Gold","Normal","Res8",23,"False/No-Wait"
"Case 3269","Question","Gold","Normal","Res3",23,"False/No-Wait"
"Case 327","Question","Gold","Normal","Res8",23,"False/No-Wait"
"Case 3270","Task","Premium","High","Res8",23,"True/Wait"
"Case 3271","Task","Premium","Normal","Res3",23,"False/No-Wait"
"Case 3272","Question","Premium","High","Res8",23,"False/No-Wait"
"Case 3273","Question","Gold","Normal","Res8",23,"False/No-Wait"
"Case 3274","Task","Premium","Normal","Res3",23,"True/Wait"
"Case 3275","Question","Gold","Normal","Res4",23,"False/No-Wait"
"Case 3276","Task","Premium","Normal","Res3",23,"False/No-Wait"
"Case 3277","Question","Gold","High","Res3",23,"False/No-Wait"
"Case 3278","Question","Gold","Normal","Res4",23,"True/Wait"
"Case 3279","Task","Premium","High","Res8",23,"True/Wait"
"Case 328","Question","Gold","Normal","Res4",23,"False/No-Wait"
"Case 3280","Incident","Gold","Normal","Res8",23,"False/No-Wait"
"Case 3281","Question","Gold","Normal","Res3",23,"False/No-Wait"
"Case 3282","Question","Gold","Normal","Res8",23,"False/No-Wait"
"Case 3283","Task","Premium","Normal","Res3",23,"False/No-Wait"
"Case 3284","Question","Gold","Normal","Res3",23,"False/No-Wait"
"Case 3285","Question","Premium","Normal","Res3",23,"False/No-Wait"
"Case 3286","Task","Premium","Normal","Res3",23,"False/No-Wait"
"Case 3287","Task","Premium","Normal","Res8",23,"True/Wait"
"Case 3288","Task","Premium","Normal","Res3",23,"True/Wait"
"Case 3289","Task","Gold","High","Res3",23,"False/No-Wait"
"Case 329","Task","Premium","Normal","Res4",23,"False/No-Wait"
"Case 3290","Question","Gold","Normal","Res4",23,"False/No-Wait"
"Case 3291","Question","Gold","Normal","Res3",23,"False/No-Wait"
"Case 3292","Question","Gold","Normal","Res4",23,"True/Wait"
"Case 3293","Task","Gold","Normal","Res4",23,"False/No-Wait"
"Case 3294","Question","Premium","Normal","Res8",23,"True/Wait"
"Case 3295","Task","Premium","Normal","Res3",23,"True/Wait"
"Case 3296","Task","Premium","Normal","Res8",23,"False/No-Wait"
"Case 3297","Task","Gold","Urgent","Res3",23,"False/No-Wait"
"Case 3298","Incident","Premium","Normal","Res4",23,"False/No-Wait"
"Case 3299","Question","Gold","Normal","Res4",23,"False/No-Wait"
"Case 33","Task","Gold","High","Res3",23,"False/No-Wait"
"Case 330","Incident","Premium","High","Res8",23,"False/No-Wait"
"Case 3300","Task","Premium","Normal","Res3",23,"False/No-Wait"
"Case 3301","Incident","Gold","Normal","Res4",23,"False/No-Wait"
"Case 3302","Question","Gold","Urgent","Res4",9,"False/No-Wait"
"Case 3303","Task","Premium","Normal","Res4",9,"True/Wait"
"Case 3304","Task","Premium","Normal","Res4",9,"True/Wait"
"Case 3305","Task","Premium","Normal","Res3",9,"False/No-Wait"
"Case 3306","Incident","Gold","High","Res8",9,"False/No-Wait"
"Case 3307","Task","Premium","Normal","Res3",9,"True/Wait"
"Case 3308","Incident","Gold","Normal","Res4",9,"True/Wait"
"Case 3309","Question","Premium","Normal","Res3",9,"False/No-Wait"
"Case 331","Task","Premium","Normal","Res3",9,"False/No-Wait"
"Case 3310","Question","Gold","Normal","Res3",9,"False/No-Wait"
"Case 3311","Question","Premium","Normal","Res3",9,"False/No-Wait"
"Case 3312","Question","Gold","High","Res3",9,"False/No-Wait"
"Case 3313","Question","Gold","Normal","Res3",9,"False/No-Wait"
"Case 3314","Task","Gold","Normal","Res8",9,"True/Wait"
"Case 3315","Task","Premium","Normal","Res8",9,"False/No-Wait"
"Case 3316","Question","Gold","Normal","Res8",9,"False/No-Wait"
"Case 3317","Question","Premium","Urgent","Res4",9,"False/No-Wait"
"Case 3318","Task","Premium","Normal","Res3",9,"True/Wait"
"Case 3319","Task","Premium","Normal","Res8",9,"False/No-Wait"
"Case 332","Incident","Premium","Normal","Res3",9,"True/Wait"
"Case 3320","Question","Gold","Normal","Res8",9,"False/No-Wait"
"Case 3321","Incident","Premium","High","Res3",9,"False/No-Wait"
"Case 3322","Question","Gold","Normal","Res3",9,"True/Wait"
"Case 3323","Task","Premium","Normal","Res8",10,"False/No-Wait"
"Case 3324","Task","Premium","Normal","Res8",10,"True/Wait"
"Case 3325","Task","Premium","Normal","Res8",10,"True/Wait"
"Case 3326","Incident","Premium","Normal","Res3",10,"False/No-Wait"
"Case 3327","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3328","Question","Gold","High","Res8",10,"False/No-Wait"
"Case 3329","Question","Gold","Normal","Res3",10,"False/No-Wait"
"Case 333","Task","Premium","Normal","Res3",10,"True/Wait"
"Case 3330","Question","Premium","High","Res8",10,"False/No-Wait"
"Case 3331","Task","Premium","High","Res8",10,"False/No-Wait"
"Case 3332","Question","Gold","Normal","Res3",10,"False/No-Wait"
"Case 3333","Task","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3334","Task","Premium","Normal","Res4",10,"False/No-Wait"
"Case 3335","Task","Premium","Normal","Res3",10,"True/Wait"
"Case 3336","Task","Premium","Normal","Res8",10,"False/No-Wait"
"Case 3337","Task","Premium","Normal","Res4",10,"False/No-Wait"
"Case 3338","Task","Premium","Normal","Res8",10,"False/No-Wait"
"Case 3339","Question","Gold","Normal","Res8",10,"False/No-Wait"
"Case 334","Task","Gold","Normal","Res4",10,"True/Wait"
"Case 3340","Question","Gold","Normal","Res8",10,"False/No-Wait"
"Case 3341","Question","Gold","High","Res4",10,"False/No-Wait"
"Case 3342","Task","Premium","Normal","Res3",10,"True/Wait"
"Case 3343","Incident","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3344","Task","Premium","Urgent","Res8",10,"False/No-Wait"
"Case 3345","Question","Gold","High","Res8",10,"False/No-Wait"
"Case 3346","Task","Premium","Urgent","Res3",10,"True/Wait"
"Case 3347","Incident","Premium","High","Res8",10,"False/No-Wait"
"Case 3348","Task","Premium","Normal","Res3",10,"True/Wait"
"Case 3349","Task","Premium","Normal","Res3",10,"True/Wait"
"Case 335","Question","Gold","High","Res8",10,"False/No-Wait"
"Case 3350","Question","Gold","High","Res4",10,"False/No-Wait"
"Case 3351","Task","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3352","Task","Premium","High","Res3",10,"False/No-Wait"
"Case 3353","Incident","Premium","Normal","Res3",10,"False/No-Wait"
"Case 3354","Task","Premium","Normal","Res3",10,"True/Wait"
"Case 3355","Task","Gold","High","Res4",10,"False/No-Wait"
"Case 3356","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3357","Question","Premium","Normal","Res4",10,"True/Wait"
"Case 3358","Task","Premium","Normal","Res8",10,"False/No-Wait"
"Case 3359","Task","Gold","Urgent","Res8",10,"False/No-Wait"
"Case 336","Task","Premium","Normal","Res3",10,"False/No-Wait"
"Case 3360","Task","Premium","Normal","Res4",10,"False/No-Wait"
"Case 3361","Task","Premium","Normal","Res4",10,"False/No-Wait"
"Case 3362","Task","Premium","Normal","Res3",10,"True/Wait"
"Case 3363","Question","Gold","High","Res3",10,"False/No-Wait"
"Case 3364","Question","Gold","Normal","Res3",10,"True/Wait"
"Case 3365","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3366","Task","Premium","Normal","Res4",10,"True/Wait"
"Case 3367","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3368","Question","Premium","Normal","Res8",10,"False/No-Wait"
"Case 3369","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 337","Task","Premium","Normal","Res3",10,"False/No-Wait"
"Case 3370","Task","Premium","Normal","Res3",10,"False/No-Wait"
"Case 3371","Task","Premium","Urgent","Res4",10,"True/Wait"
"Case 3372","Task","Premium","High","Res4",10,"True/Wait"
"Case 3373","Task","Premium","Normal","Res8",10,"False/No-Wait"
"Case 3374","Question","Gold","Normal","Res8",10,"False/No-Wait"
"Case 3375","Question","Gold","Normal","Res8",10,"False/No-Wait"
"Case 3376","Incident","Premium","Normal","Res8",10,"False/No-Wait"
"Case 3377","Question","Gold","High","Res3",10,"False/No-Wait"
"Case 3378","Task","Premium","Normal","Res4",10,"False/No-Wait"
"Case 3379","Task","Premium","Normal","Res4",10,"False/No-Wait"
"Case 338","Question","Gold","High","Res4",10,"False/No-Wait"
"Case 3380","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3381","Question","Gold","High","Res3",10,"False/No-Wait"
"Case 3382","Task","Premium","Normal","Res4",10,"False/No-Wait"
"Case 3383","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3384","Task","Gold","Normal","Res3",10,"False/No-Wait"
"Case 3385","Task","Premium","Normal","Res8",10,"True/Wait"
"Case 3386","Incident","Premium","High","Res8",10,"False/No-Wait"
"Case 3387","Question","Gold","High","Res8",10,"False/No-Wait"
"Case 3388","Task","Premium","Normal","Res3",10,"True/Wait"
"Case 3389","Question","Gold","Normal","Res8",10,"False/No-Wait"
"Case 339","Task","Premium","Normal","Res8",10,"True/Wait"
"Case 3390","Task","Premium","Normal","Res8",10,"False/No-Wait"
"Case 3391","Question","Premium","Normal","Res4",10,"False/No-Wait"
"Case 3392","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3393","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3394","Question","Gold","Normal","Res8",10,"False/No-Wait"
"Case 3395","Task","Premium","High","Res4",10,"False/No-Wait"
"Case 3396","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3397","Question","Gold","High","Res3",10,"False/No-Wait"
"Case 3398","Question","Premium","Normal","Res4",10,"False/No-Wait"
"Case 3399","Question","Gold","High","Res4",10,"False/No-Wait"
"Case 34","Task","Premium","Urgent","Res4",10,"True/Wait"
"Case 340","Question","Premium","Normal","Res8",10,"True/Wait"
"Case 3400","Incident","Gold","Normal","Res8",10,"False/No-Wait"
"Case 3401","Question","Premium","Normal","Res8",10,"False/No-Wait"
"Case 3402","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3403","Task","Gold","Normal","Res8",10,"False/No-Wait"
"Case 3404","Question","Gold","High","Res3",10,"False/No-Wait"
"Case 3405","Question","Premium","Normal","Res3",10,"True/Wait"
"Case 3406","Task","Premium","High","Res3",10,"True/Wait"
"Case 3407","Question","Gold","Normal","Res4",10,"False/No-Wait"
"Case 3408","Task","Premium","Normal","Res8",10,"True/Wait"
"Case 3409","Question","Premium","High","Res3",11,"False/No-Wait"
"Case 341","Question","Gold","High","Res8",11,"False/No-Wait"
"Case 3410","Task","Premium","Normal","Res3",11,"False/No-Wait"
"Case 3411","Question","Premium","Normal","Res3",11,"False/No-Wait"
"Case 3412","Question","Gold","High","Res8",11,"False/No-Wait"
"Case 3413","Task","Premium","Normal","Res4",11,"True/Wait"
"Case 3414","Question","Gold","Normal","Res4",11,"False/No-Wait"
"Case 3415","Question","Gold","Normal","Res4",11,"True/Wait"
"Case 3416","Incident","Gold","High","Res3",11,"False/No-Wait"
"Case 3417","Question","Gold","Normal","Res4",11,"False/No-Wait"
"Case 3418","Task","Premium","Normal","Res8",11,"False/No-Wait"
"Case 3419","Question","Gold","Normal","Res8",11,"False/No-Wait"
"Case 342","Task","Premium","Normal","Res3",12,"False/No-Wait"
"Case 3420","Incident","Premium","Normal","Res8",12,"False/No-Wait"
"Case 3421","Task","Premium","High","Res8",12,"False/No-Wait"
"Case 3422","Incident","Gold","Normal","Res4",12,"False/No-Wait"
"Case 3423","Task","Premium","High","Res4",12,"True/Wait"
"Case 3424","Task","Premium","Normal","Res3",12,"True/Wait"
"Case 3425","Question","Premium","High","Res4",12,"False/No-Wait"
"Case 3426","Task","Premium","Normal","Res3",12,"False/No-Wait"
"Case 3427","Incident","Gold","Normal","Res3",12,"False/No-Wait"
"Case 3428","Task","Premium","Urgent","Res3",12,"False/No-Wait"
"Case 3429","Task","Gold","High","Res8",12,"False/No-Wait"
"Case 343","Task","Premium","Normal","Res8",12,"True/Wait"
"Case 3430","Task","Premium","Normal","Res4",12,"False/No-Wait"
"Case 3431","Question","Gold","Urgent","Res3",12,"False/No-Wait"
"Case 3432","Task","Premium","High","Res3",12,"True/Wait"
"Case 3433","Question","Premium","Normal","Res8",12,"True/Wait"
"Case 3434","Task","Premium","Normal","Res3",12,"True/Wait"
"Case 3435","Question","Gold","High","Res8",12,"False/No-Wait"
"Case 3436","Task","Premium","Normal","Res4",12,"True/Wait"
"Case 3437","Question","Gold","Normal","Res3",12,"False/No-Wait"
"Case 3438","Task","Gold","Normal","Res3",12,"False/No-Wait"
"Case 3439","Incident","Premium","Normal","Res8",12,"True/Wait"
"Case 344","Incident","Gold","Normal","Res4",12,"False/No-Wait"
"Case 3440","Task","Premium","High","Res4",12,"True/Wait"
"Case 3441","Task","Premium","Normal","Res4",12,"False/No-Wait"
"Case 3442","Task","Premium","Normal","Res4",12,"False/No-Wait"
"Case 3443","Task","Premium","Normal","Res8",13,"False/No-Wait"
"Case 3444","Task","Premium","High","Res3",13,"False/No-Wait"
"Case 3445","Incident","Gold","Normal","Res4",13,"False/No-Wait"
"Case 3446","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 3447","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 3448","Task","Premium","Normal","Res8",13,"False/No-Wait"
"Case 3449","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 345","Task","Premium","Normal","Res4",13,"False/No-Wait"
"Case 3450","Task","Premium","Normal","Res8",13,"True/Wait"
"Case 3451","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 3452","Incident","Gold","Normal","Res8",13,"False/No-Wait"
"Case 3453","Question","Premium","Normal","Res4",13,"False/No-Wait"
