Case ID,Ticket type,Membership
Case 3361,Task,Premium
Case 3754,Question,Gold
Case 1586,Task,Premium
Case 1226,Question,Gold
Case 2794,Task,Premium
Case 1074,Task,Premium
Case 4550,Question,Premium
Case 329,Task,Premium
Case 2859,Task,Premium
Case 3119,Task,Premium
Case 204,Question,Premium
Case 71,Question,Gold
Case 3175,Task,Premium
Case 2967,Incident,Gold
Case 2008,Question,Gold
Case 1335,Question,Gold
Case 2404,Question,Gold
Case 4242,Task,Premium
Case 2509,Question,Gold
Case 1983,Task,Gold
Case 4512,Task,Premium
Case 3584,Question,Premium
Case 2758,Task,Premium
Case 2098,Task,Premium
Case 4028,Task,Premium
Case 2531,Question,Gold
Case 1927,Question,Gold
Case 4153,Task,Premium
Case 1669,Task,Premium
Case 3555,Task,Premium
Case 3223,Task,Premium
Case 1790,Question,Premium
Case 2469,Incident,Gold
Case 1627,Question,Gold
Case 3867,Question,Gold
Case 1822,Question,Gold
Case 2071,Task,Premium
Case 284,Question,Gold
Case 78,Task,Premium
Case 2912,Question,Gold
Case 2129,Task,Premium
Case 1623,Question,Premium
Case 3022,Task,Premium
Case 623,Task,Premium
Case 1747,Question,Gold
Case 4235,Question,Gold
Case 248,Incident,Gold
Case 4472,Task,Premium
Case 454,Incident,Gold
Case 3507,Task,Premium
Case 1377,Task,Premium
Case 3739,Question,Gold
Case 3208,Task,Gold
Case 3154,Question,Gold
Case 3045,Question,Gold
Case 3882,Incident,Gold
Case 3102,Task,Premium
Case 1888,Question,Gold
Case 1362,Question,Gold
Case 3925,Incident,Premium
Case 4122,Question,Premium
Case 2832,Incident,Gold
Case 1033,Task,Premium
Case 2371,Question,Gold
Case 463,Task,Premium
Case 2496,Question,Premium
Case 3733,Incident,Gold
Case 4234,Task,Premium
Case 4245,Task,Premium
Case 4102,Question,Gold
Case 2737,Question,Gold
Case 3424,Task,Premium
Case 762,Task,Premium
Case 3284,Question,Gold
Case 219,Question,Premium
Case 437,Task,Premium
Case 2132,Task,Premium
Case 982,Question,Gold
Case 1957,Task,Premium
Case 2759,Question,Premium
Case 2257,Task,Premium
Case 3630,Task,Premium
Case 893,Question,Gold
Case 3723,Incident,Gold
Case 687,Question,Gold
Case 1081,Task,Premium
Case 827,Task,Premium
Case 4023,Incident,Gold
Case 3089,Question,Premium
Case 87,Task,Premium
Case 4124,Task,Premium
Case 2661,Question,Gold
Case 3470,Incident,Premium
Case 1952,Task,Premium
Case 2842,Task,Premium
Case 2304,Task,Premium
Case 2766,Task,Premium
Case 1702,Incident,Premium
Case 2893,Question,Gold
Case 1255,Task,Premium
Case 196,Task,Gold
Case 1893,Incident,Gold
Case 742,Question,Gold
Case 758,Task,Premium
Case 952,Task,Premium
Case 2433,Question,Gold
Case 2952,Task,Premium
Case 3218,Question,Gold
Case 3211,Task,Premium
Case 288,Question,Gold
Case 3496,Task,Gold
Case 3513,Task,Gold
Case 3980,Question,Gold
Case 885,Question,Premium
Case 4409,Task,Gold
Case 4572,Incident,Premium
Case 3201,Task,Premium
Case 4104,Incident,Premium
Case 1726,Question,Premium
Case 2820,Incident,Premium
Case 2363,Question,Gold
Case 4528,Task,Premium
Case 997,Question,Premium
Case 943,Question,Gold
Case 4083,Question,Gold
Case 2837,Incident,Premium
Case 2879,Incident,Gold
Case 673,Incident,Premium
Case 3968,Question,Gold
Case 3447,Question,Gold
Case 720,Question,Gold
Case 1442,Question,Gold
Case 2780,Question,Gold
Case 1296,Question,Gold
Case 3091,Incident,Premium
Case 3792,Question,Gold
Case 878,Task,Premium
Case 3628,Question,Gold
Case 1091,Task,Premium
Case 3156,Task,Premium
Case 3709,Question,Gold
Case 229,Question,Premium
Case 2494,Question,Gold
Case 1268,Question,Gold
Case 221,Task,Premium
Case 4196,Question,Gold
Case 2695,Question,Gold
Case 753,Question,Gold
Case 1608,Question,Gold
Case 3689,Task,Premium
Case 3321,Incident,Premium
Case 167,Incident,Gold
Case 724,Question,Premium
Case 4125,Incident,Premium
Case 1628,Question,Gold
Case 764,Question,Gold
Case 3279,Task,Premium
Case 3265,Incident,Premium
Case 27,Task,Premium
Case 4427,Task,Premium
Case 2813,Question,Gold
Case 1573,Question,Gold
Case 3518,Incident,Premium
Case 49,Task,Premium
Case 2216,Task,Premium
Case 3437,Question,Gold
Case 128,Question,Gold
Case 2000,Question,Gold
Case 1710,Question,Gold
Case 4484,Task,Premium
Case 2230,Question,Premium
Case 3950,Task,Premium
Case 2372,Task,Premium
Case 718,Task,Gold
Case 2478,Incident,Gold
Case 3472,Incident,Premium
Case 2698,Incident,Gold
Case 2180,Incident,Gold
Case 1699,Task,Premium
Case 3307,Task,Premium
Case 1419,Task,Premium
Case 1909,Question,Gold
Case 1013,Question,Premium
Case 4112,Incident,Gold
Case 4000,Question,Gold
Case 2948,Task,Gold
Case 2426,Incident,Premium
Case 543,Task,Premium
Case 4492,Incident,Premium
Case 4188,Task,Premium
Case 522,Task,Premium
Case 3935,Question,Premium
Case 546,Question,Gold
Case 4039,Question,Premium
Case 1678,Question,Gold
Case 923,Question,Gold
Case 3040,Question,Premium
Case 1984,Task,Premium
Case 4244,Incident,Premium
Case 3105,Task,Premium
Case 4367,Question,Gold
Case 1781,Question,Premium
Case 119,Task,Gold
Case 3782,Question,Gold
Case 2113,Question,Gold
Case 531,Question,Gold
Case 3593,Incident,Premium
Case 4276,Question,Gold
Case 3464,Task,Premium
Case 648,Task,Premium
Case 1544,Question,Gold
Case 3730,Incident,Premium
Case 3626,Incident,Premium
Case 535,Question,Gold
Case 457,Question,Gold
Case 1331,Question,Gold
Case 2604,Task,Premium
Case 269,Task,Premium
Case 2158,Question,Gold
Case 1177,Incident,Premium
Case 3714,Task,Gold
Case 3484,Question,Gold
Case 4388,Question,Gold
Case 3198,Task,Premium
Case 4097,Question,Gold
Case 3732,Incident,Premium
Case 1406,Task,Gold
Case 1171,Question,Gold
Case 1034,Question,Gold
Case 1346,Task,Premium
Case 2747,Incident,Premium
Case 3594,Task,Premium
Case 2400,Question,Gold
Case 677,Task,Premium
Case 4232,Task,Gold
Case 199,Question,Gold
Case 1139,Question,Gold
Case 1785,Question,Gold
Case 3916,Question,Gold
Case 1686,Question,Gold
Case 1836,Incident,Premium
Case 574,Question,Gold
Case 666,Task,Premium
Case 387,Incident,Gold
Case 2036,Question,Premium
Case 754,Task,Premium
Case 1482,Question,Gold
Case 3322,Question,Gold
Case 3378,Task,Premium
Case 3652,Question,Gold
Case 395,Question,Gold
Case 1473,Incident,Premium
Case 4513,Task,Premium
Case 3291,Question,Gold
Case 1745,Question,Gold
Case 2192,Question,Gold
Case 3761,Question,Gold
Case 2982,Question,Gold
Case 3011,Task,Premium
Case 3642,Task,Premium
Case 2738,Task,Premium
Case 373,Incident,Gold
Case 377,Task,Premium
Case 3123,Task,Gold
Case 4133,Question,Premium
Case 3623,Question,Premium
Case 3860,Question,Gold
Case 2998,Task,Premium
Case 4449,Incident,Premium
Case 1811,Question,Gold
Case 1477,Task,Gold
Case 3846,Task,Premium
Case 3728,Question,Gold
Case 1197,Question,Premium
Case 723,Question,Gold
Case 1374,Task,Premium
Case 2627,Question,Premium
Case 524,Question,Premium
Case 3108,Question,Gold
Case 3478,Incident,Gold
Case 1645,Question,Gold
Case 850,Task,Gold
Case 2654,Incident,Gold
Case 4132,Question,Gold
Case 2087,Task,Premium
Case 341,Question,Gold
Case 3805,Question,Premium
Case 11,Question,Gold
Case 4271,Question,Gold
Case 2248,Task,Gold
Case 4433,Task,Premium
Case 2921,Task,Premium
Case 2760,Question,Gold
Case 3704,Question,Gold
Case 2678,Task,Premium
Case 3303,Task,Premium
Case 1259,Question,Gold
Case 3405,Question,Premium
Case 493,Task,Premium
Case 2079,Incident,Premium
Case 1716,Task,Premium
Case 3998,Question,Gold
Case 3677,Question,Gold
Case 620,Task,Premium
Case 2170,Task,Premium
Case 2515,Incident,Gold
Case 3241,Question,Premium
Case 514,Question,Gold
Case 1349,Task,Premium
Case 4299,Question,Gold
Case 2525,Question,Gold
Case 2852,Task,Gold
Case 3834,Task,Premium
Case 1389,Question,Gold
Case 4578,Question,Gold
Case 350,Task,Premium
Case 1558,Question,Gold
Case 4110,Question,Gold
Case 3144,Question,Gold
Case 1248,Task,Premium
Case 3894,Task,Premium
Case 4204,Task,Gold
Case 263,Question,Premium
Case 2644,Question,Gold
Case 2552,Incident,Gold
Case 1646,Question,Premium
Case 1073,Incident,Gold
Case 4553,Question,Gold
Case 2234,Task,Premium
Case 4052,Task,Premium
Case 3062,Question,Gold
Case 1949,Incident,Gold
Case 1563,Incident,Premium
Case 778,Incident,Gold
Case 3367,Question,Gold
Case 4254,Task,Premium
Case 3404,Question,Gold
Case 1190,Question,Gold
Case 4116,Task,Premium
Case 4580,Question,Premium
Case 2753,Task,Premium
Case 2046,Task,Premium
Case 1244,Task,Premium
Case 3425,Question,Premium
Case 3727,Incident,Premium
Case 745,Question,Gold
Case 4251,Incident,Premium
Case 477,Incident,Gold
Case 844,Question,Gold
Case 898,Incident,Premium
Case 1120,Question,Gold
Case 2740,Incident,Gold
Case 2049,Question,Gold
Case 4278,Task,Premium
Case 1022,Question,Premium
Case 3953,Incident,Premium
Case 3800,Incident,Gold
Case 1059,Question,Gold
Case 3564,Question,Gold
Case 4448,Question,Premium
Case 3206,Question,Gold
Case 168,Question,Gold
Case 3282,Question,Gold
Case 521,Question,Gold
Case 3483,Question,Gold
Case 1965,Task,Premium
Case 148,Question,Gold
Case 3157,Task,Premium
Case 4552,Task,Premium
Case 188,Question,Gold
Case 1824,Question,Gold
Case 1138,Task,Premium
Case 1910,Question,Gold
Case 3618,Question,Gold
Case 2043,Incident,Gold
Case 328,Question,Gold
Case 4173,Question,Gold
Case 4343,Question,Premium
Case 2026,Task,Premium
Case 3342,Task,Premium
Case 3297,Task,Gold
Case 1126,Task,Gold
Case 76,Question,Gold
Case 681,Task,Premium
Case 1153,Task,Premium
Case 736,Incident,Premium
Case 1653,Task,Premium
Case 3698,Task,Premium
Case 3377,Question,Gold
Case 3275,Question,Gold
Case 1325,Incident,Gold
Case 2200,Question,Gold
Case 4118,Question,Gold
Case 4314,Incident,Premium
Case 209,Question,Gold
Case 544,Question,Gold
Case 1132,Task,Gold
Case 2116,Question,Gold
Case 1217,Task,Premium
Case 2477,Question,Premium
Case 1626,Incident,Premium
Case 3777,Task,Premium
Case 976,Question,Gold
Case 1175,Task,Gold
Case 1062,Task,Premium
Case 2485,Incident,Premium
Case 2025,Question,Premium
Case 2823,Question,Premium
Case 2063,Question,Gold
Case 3871,Incident,Premium
Case 4087,Task,Premium
Case 394,Question,Gold
Case 743,Question,Gold
Case 3989,Question,Gold
Case 834,Question,Gold
Case 2449,Incident,Premium
Case 4071,Incident,Premium
Case 3774,Incident,Premium
Case 3572,Task,Premium
Case 4267,Question,Gold
Case 4191,Question,Gold
Case 4340,Question,Gold
Case 1093,Question,Gold
Case 596,Task,Premium
Case 4279,Incident,Premium
Case 3456,Task,Gold
Case 165,Question,Gold
Case 3146,Question,Gold
Case 1717,Question,Gold
Case 2528,Question,Gold
Case 50,Question,Gold
Case 2538,Task,Premium
Case 2929,Question,Gold
Case 3829,Task,Gold
Case 760,Incident,Gold
Case 3747,Incident,Gold
Case 4158,Question,Gold
Case 2580,Question,Gold
Case 3797,Task,Premium
Case 403,Question,Gold
Case 2911,Question,Gold
Case 746,Question,Gold
Case 756,Question,Gold
Case 4562,Task,Premium
Case 1444,Question,Gold
Case 3718,Task,Premium
Case 3811,Question,Gold
Case 866,Task,Premium
Case 2286,Question,Gold
Case 177,Question,Gold
Case 35,Question,Gold
Case 1127,Question,Gold
Case 1931,Question,Gold
Case 2626,Incident,Gold
Case 2542,Question,Gold
Case 1133,Question,Gold
Case 3853,Question,Gold
Case 3501,Question,Gold
Case 1773,Question,Gold
Case 4135,Incident,Gold
Case 1229,Incident,Premium
Case 2796,Task,Premium
Case 1486,Incident,Gold
Case 3879,Question,Gold
Case 674,Task,Premium
Case 3861,Task,Premium
Case 4567,Incident,Premium
Case 2262,Question,Gold
Case 1443,Question,Gold
Case 3255,Task,Premium
Case 2394,Task,Premium
Case 3258,Question,Gold
Case 2148,Question,Premium
Case 3165,Incident,Gold
Case 344,Incident,Gold
Case 405,Task,Gold
Case 3064,Task,Gold
Case 2663,Question,Gold
Case 3097,Question,Premium
Case 3999,Task,Premium
Case 3660,Question,Gold
Case 1236,Task,Premium
Case 2870,Task,Gold
Case 45,Task,Premium
Case 505,Incident,Premium
Case 2023,Incident,Gold
Case 3772,Task,Premium
Case 660,Question,Premium
Case 3293,Task,Gold
Case 592,Question,Gold
Case 3135,Task,Premium
Case 2034,Task,Gold
Case 2252,Question,Gold
Case 1725,Question,Gold
Case 1055,Question,Gold
Case 2130,Question,Gold
Case 2164,Task,Premium
Case 1311,Question,Gold
Case 1195,Task,Premium
Case 914,Incident,Gold
Case 4136,Task,Gold
Case 272,Task,Premium
Case 398,Task,Premium
Case 4335,Question,Gold
Case 4531,Question,Gold
Case 1769,Question,Gold
Case 3520,Question,Gold
Case 2516,Question,Gold
Case 1219,Task,Gold
Case 643,Incident,Gold
Case 371,Question,Gold
Case 1620,Task,Premium
Case 1598,Question,Gold
Case 3726,Task,Premium
Case 1355,Task,Gold
Case 2027,Task,Premium
Case 2255,Question,Gold
Case 4408,Task,Premium
Case 2672,Question,Gold
Case 4546,Question,Gold
Case 3461,Question,Gold
Case 4498,Task,Premium
Case 3343,Incident,Gold
Case 2518,Task,Premium
Case 2261,Question,Gold
Case 1719,Task,Gold
Case 102,Question,Gold
Case 1967,Question,Gold
Case 3622,Question,Gold
Case 56,Question,Gold
Case 2821,Incident,Premium
Case 2461,Question,Gold
Case 618,Question,Gold
Case 770,Question,Premium
Case 3166,Question,Gold
Case 2602,Incident,Gold
Case 439,Question,Premium
Case 222,Question,Gold
Case 2303,Incident,Premium
Case 2556,Question,Gold
Case 733,Question,Premium
Case 2554,Question,Premium
Case 431,Question,Gold
Case 3699,Incident,Premium
Case 3204,Question,Premium
Case 3964,Task,Gold
Case 2350,Incident,Premium
Case 4397,Question,Gold
Case 2140,Incident,Premium
Case 4042,Question,Gold
Case 2090,Task,Premium
Case 2669,Task,Premium
Case 1599,Task,Premium
Case 303,Question,Gold
Case 3019,Question,Premium
Case 909,Question,Gold
Case 1531,Question,Gold
Case 2323,Question,Gold
Case 1215,Question,Premium
Case 1963,Question,Gold
Case 1336,Question,Gold
Case 644,Question,Premium
Case 3205,Question,Gold
Case 3458,Question,Gold
Case 2917,Question,Premium
Case 94,Question,Gold
Case 731,Question,Gold
Case 2568,Question,Gold
Case 3556,Question,Gold
Case 1743,Question,Gold
Case 3938,Incident,Premium
Case 2247,Incident,Gold
Case 2974,Question,Gold
Case 194,Task,Premium
Case 836,Task,Premium
Case 1870,Question,Gold
Case 1752,Task,Premium
Case 538,Question,Gold
Case 3485,Question,Gold
Case 4181,Incident,Premium
Case 2836,Question,Gold
Case 1049,Question,Gold
Case 4093,Question,Gold
Case 3225,Task,Premium
Case 2382,Question,Premium
Case 3410,Task,Premium
Case 1208,Question,Gold
Case 2429,Incident,Gold
Case 4459,Task,Premium
Case 74,Question,Gold
Case 4541,Task,Gold
Case 1015,Incident,Gold
Case 4344,Question,Gold
Case 4315,Task,Premium
Case 4538,Task,Premium
Case 2224,Question,Gold
Case 1181,Question,Gold
Case 2277,Question,Gold
Case 4221,Task,Premium
Case 1293,Question,Gold
Case 958,Task,Gold
Case 3446,Question,Gold
Case 3793,Incident,Premium
Case 2535,Question,Gold
Case 4576,Question,Gold
Case 1067,Question,Premium
Case 290,Task,Premium
Case 4262,Question,Premium
Case 1778,Question,Gold
Case 4056,Question,Gold
Case 4527,Incident,Gold
Case 549,Question,Gold
Case 295,Question,Gold
Case 3821,Task,Premium
Case 629,Question,Gold
Case 2799,Task,Premium
Case 1842,Incident,Premium
Case 3995,Question,Gold
Case 932,Question,Gold
Case 4215,Question,Gold
Case 4211,Incident,Premium
Case 2060,Question,Gold
Case 766,Question,Premium
Case 3317,Question,Premium
Case 4012,Incident,Premium
Case 1334,Task,Premium
Case 1040,Question,Premium
Case 2397,Question,Gold
Case 1588,Question,Gold
Case 2642,Question,Premium
Case 3907,Incident,Premium
Case 3765,Question,Gold
Case 2044,Question,Gold
Case 1857,Question,Gold
Case 3129,Question,Premium
Case 3127,Question,Premium
Case 1199,Question,Gold
Case 1890,Incident,Gold
Case 2317,Task,Gold
Case 3391,Question,Premium
Case 3283,Task,Premium
Case 1401,Task,Premium
Case 4289,Question,Gold
Case 1680,Task,Premium
Case 2150,Question,Gold
Case 16,Question,Gold
Case 767,Task,Premium
Case 813,Task,Gold
Case 178,Question,Gold
Case 362,Task,Premium
Case 657,Question,Gold
Case 1914,Question,Gold
Case 508,Task,Premium
Case 1687,Question,Gold
Case 1802,Incident,Premium
Case 1418,Incident,Premium
Case 3828,Task,Gold
Case 2358,Task,Premium
Case 1990,Task,Gold
Case 2757,Task,Premium
Case 2841,Question,Gold
Case 3845,Question,Gold
Case 3023,Task,Premium
Case 1938,Incident,Gold
Case 1365,Question,Gold
Case 2365,Incident,Premium
Case 806,Task,Premium
Case 2546,Incident,Gold
Case 4170,Question,Premium
Case 4201,Question,Gold
Case 96,Task,Gold
Case 1115,Question,Gold
Case 3438,Task,Gold
Case 931,Question,Premium
Case 1083,Incident,Gold
Case 2831,Question,Gold
Case 2100,Question,Gold
Case 3325,Task,Premium
Case 3773,Question,Gold
Case 3259,Task,Premium
Case 1368,Incident,Premium
Case 545,Question,Gold
Case 3081,Task,Premium
Case 1329,Question,Gold
Case 2919,Incident,Gold
Case 2697,Question,Gold
Case 794,Question,Gold
Case 3588,Question,Gold
Case 138,Question,Gold
Case 1852,Question,Gold
Case 3474,Question,Gold
Case 3094,Question,Premium
Case 2800,Question,Gold
Case 526,Incident,Premium
Case 3074,Incident,Premium
Case 2344,Question,Gold
Case 975,Question,Gold
Case 1825,Task,Premium
Case 2472,Question,Premium
Case 2969,Task,Premium
Case 3531,Task,Premium
Case 1520,Task,Gold
Case 255,Incident,Gold
Case 3560,Question,Gold
Case 3469,Question,Gold
Case 340,Question,Premium
Case 4390,Question,Gold
Case 1875,Task,Premium
Case 3348,Task,Premium
Case 4293,Incident,Premium
Case 1665,Task,Premium
Case 3067,Task,Premium
Case 4372,Question,Gold
Case 4429,Question,Premium
Case 142,Question,Premium
Case 2070,Task,Premium
Case 1198,Question,Gold
Case 3801,Question,Gold
Case 777,Task,Premium
Case 983,Question,Gold
Case 3763,Incident,Premium
Case 1876,Task,Gold
Case 3269,Question,Gold
Case 795,Question,Gold
Case 392,Incident,Gold
Case 3581,Question,Gold
Case 2244,Task,Premium
Case 2830,Task,Gold
Case 4046,Question,Gold
Case 2637,Question,Gold
Case 1642,Task,Gold
Case 277,Incident,Premium
Case 3661,Task,Premium
Case 1993,Question,Premium
Case 2787,Question,Premium
Case 2615,Incident,Premium
Case 698,Incident,Gold
Case 4559,Question,Gold
Case 4111,Question,Gold
Case 4452,Question,Gold
Case 2357,Question,Gold
Case 3585,Incident,Premium
Case 3820,Question,Gold
Case 4334,Task,Premium
Case 223,Question,Premium
Case 1437,Question,Premium
Case 1508,Question,Gold
Case 1596,Task,Gold
Case 3658,Question,Premium
Case 2606,Task,Gold
Case 897,Question,Gold
Case 3842,Question,Gold
Case 1493,Question,Gold
Case 3417,Question,Gold
Case 1172,Question,Premium
Case 4249,Question,Premium
Case 4214,Question,Gold
Case 1784,Question,Gold
Case 2409,Question,Gold
Case 2039,Task,Premium
Case 2687,Question,Gold
Case 3629,Incident,Gold
Case 38,Question,Gold
Case 1762,Task,Premium
Case 1405,Task,Premium
Case 311,Incident,Gold
Case 415,Task,Premium
Case 2595,Question,Gold
Case 3751,Question,Gold
Case 3753,Question,Gold
Case 4457,Question,Gold
Case 2482,Question,Gold
Case 2795,Task,Premium
Case 2727,Task,Premium
Case 2032,Question,Premium
Case 4121,Task,Premium
Case 2913,Question,Gold
Case 4364,Question,Gold
Case 3491,Question,Gold
Case 1632,Question,Premium
Case 4202,Question,Premium
Case 1634,Task,Gold
Case 716,Question,Gold
Case 1602,Question,Gold
Case 872,Task,Gold
Case 300,Question,Gold
Case 2750,Question,Gold
Case 634,Question,Gold
Case 2030,Question,Gold
Case 3028,Incident,Gold
Case 790,Incident,Premium
Case 1753,Question,Gold
Case 3503,Incident,Premium
Case 1944,Task,Premium
Case 1878,Question,Gold
Case 1439,Question,Gold
Case 3789,Task,Premium
Case 772,Question,Gold
Case 1503,Question,Gold
Case 2566,Question,Gold
Case 1448,Question,Premium
Case 1803,Task,Premium
Case 817,Incident,Gold
Case 2987,Question,Gold
Case 2416,Incident,Gold
Case 1192,Task,Gold
Case 4491,Task,Premium
Case 2551,Question,Premium
Case 461,Task,Premium
Case 1131,Question,Gold
Case 59,Question,Gold
Case 799,Task,Premium
Case 693,Question,Gold
Case 4159,Task,Premium
Case 2326,Task,Premium
Case 2960,Question,Gold
Case 3736,Question,Gold
Case 4545,Task,Premium
Case 1732,Question,Gold
Case 3561,Task,Premium
Case 2904,Task,Premium
Case 4566,Question,Premium
Case 3467,Task,Premium
Case 695,Task,Premium
Case 3374,Question,Gold
Case 3945,Question,Gold
Case 1354,Task,Premium
Case 4010,Incident,Premium
Case 1046,Question,Gold
Case 3536,Question,Premium
Case 3712,Question,Gold
Case 3878,Question,Gold
Case 2885,Question,Premium
Case 2833,Task,Gold
Case 4233,Question,Premium
Case 4304,Task,Gold
Case 1601,Question,Premium
Case 1995,Task,Premium
Case 3808,Question,Gold
Case 2,Task,Premium
Case 2711,Task,Premium
Case 4166,Task,Gold
Case 682,Question,Gold
Case 5,Question,Gold
Case 1569,Question,Premium
Case 4129,Question,Gold
Case 2226,Question,Gold
Case 417,Task,Premium
Case 4508,Question,Gold
Case 3468,Question,Gold
Case 785,Question,Gold
Case 4413,Task,Premium
Case 880,Task,Premium
Case 4205,Question,Gold
Case 3020,Question,Gold
Case 705,Question,Gold
Case 43,Question,Gold
Case 2085,Question,Gold
Case 2630,Incident,Gold
Case 4570,Question,Gold
Case 3909,Question,Premium
Case 1800,Question,Gold
Case 2690,Task,Gold
Case 4041,Question,Gold
Case 2978,Task,Premium
Case 2958,Question,Gold
Case 1673,Question,Gold
Case 2421,Question,Gold
Case 1912,Question,Gold
Case 1128,Task,Gold
Case 179,Question,Gold
Case 68,Incident,Premium
Case 1564,Question,Gold
Case 1032,Task,Premium
Case 3591,Question,Gold
Case 2612,Task,Premium
Case 3264,Task,Premium
Case 2705,Question,Gold
Case 381,Task,Premium
Case 3889,Incident,Gold
Case 3667,Question,Gold
Case 3573,Question,Gold
Case 1295,Question,Gold
Case 200,Question,Premium
Case 491,Question,Premium
Case 4555,Question,Gold
Case 1847,Task,Premium
Case 4317,Question,Gold
Case 2906,Question,Gold
Case 3737,Task,Premium
Case 1742,Question,Premium
Case 2576,Task,Premium
Case 2648,Incident,Premium
Case 425,Question,Premium
Case 883,Task,Premium
Case 3134,Question,Premium
Case 3646,Question,Premium
Case 3807,Task,Premium
Case 2844,Question,Gold
Case 3383,Question,Gold
Case 3178,Question,Gold
Case 1619,Question,Gold
Case 892,Question,Gold
Case 4222,Task,Premium
Case 1689,Task,Premium
Case 434,Task,Premium
Case 1321,Task,Premium
Case 1488,Question,Gold
Case 3160,Task,Gold
Case 1475,Task,Premium
Case 4416,Task,Premium
Case 2946,Task,Premium
Case 4386,Question,Gold
Case 738,Task,Premium
Case 859,Incident,Premium
Case 2903,Question,Gold
Case 3558,Question,Premium
Case 1559,Question,Gold
Case 950,Task,Premium
Case 1908,Task,Premium
Case 3665,Task,Gold
Case 2803,Task,Gold
Case 3408,Task,Premium
Case 1537,Question,Gold
Case 4260,Question,Premium
Case 3352,Task,Premium
Case 274,Task,Premium
Case 336,Task,Premium
Case 1982,Task,Premium
Case 511,Question,Premium
Case 3171,Question,Gold
Case 3141,Question,Gold
Case 3285,Question,Premium
Case 3604,Question,Gold
Case 2242,Task,Gold
Case 3922,Question,Gold
Case 2739,Incident,Premium
Case 1084,Question,Premium
Case 3762,Incident,Gold
Case 2047,Question,Premium
Case 2202,Task,Premium
Case 120,Incident,Gold
Case 706,Incident,Gold
Case 1076,Task,Premium
Case 840,Question,Gold
Case 4272,Question,Gold
Case 752,Question,Premium
Case 2883,Question,Gold
Case 4001,Question,Gold
Case 796,Task,Premium
Case 3432,Task,Premium
Case 722,Question,Premium
Case 3309,Question,Premium
Case 602,Task,Premium
Case 3760,Question,Gold
Case 669,Question,Gold
Case 3804,Task,Premium
Case 285,Question,Premium
Case 1041,Question,Premium
Case 1320,Question,Premium
Case 721,Incident,Premium
Case 3335,Task,Premium
Case 680,Question,Premium
Case 717,Question,Gold
Case 170,Task,Gold
Case 1683,Question,Gold
Case 3741,Question,Premium
Case 1467,Question,Gold
Case 4216,Incident,Premium
Case 4468,Question,Gold
Case 4131,Question,Gold
Case 1188,Question,Premium
Case 4155,Task,Gold
Case 3783,Question,Gold
Case 3394,Question,Gold
Case 1256,Task,Premium
Case 2174,Incident,Gold
Case 3814,Task,Premium
Case 418,Question,Premium
Case 4086,Task,Premium
Case 3381,Question,Gold
Case 3096,Task,Premium
Case 3904,Question,Premium
Case 305,Question,Premium
Case 853,Incident,Gold
Case 2600,Incident,Gold
Case 2729,Question,Gold
Case 1427,Task,Premium
Case 2584,Task,Premium
Case 3480,Question,Gold
Case 1871,Question,Premium
Case 3007,Question,Gold
Case 3731,Question,Gold
Case 1423,Task,Premium
Case 2691,Incident,Premium
Case 1960,Question,Premium
Case 352,Question,Gold
Case 970,Task,Premium
Case 3640,Question,Gold
Case 1350,Incident,Premium
Case 4208,Question,Gold
Case 3272,Question,Premium
Case 3430,Task,Premium
Case 3375,Question,Gold
Case 4319,Question,Gold
Case 1029,Question,Gold
Case 1649,Question,Gold
Case 2454,Incident,Premium
Case 4455,Question,Gold
Case 4189,Question,Premium
Case 2986,Question,Gold
Case 2977,Question,Gold
Case 4515,Question,Gold
Case 1955,Task,Premium
Case 375,Question,Gold
Case 3939,Task,Gold
Case 4379,Task,Gold
Case 2273,Task,Gold
Case 4466,Task,Gold
Case 2073,Task,Premium
Case 4560,Incident,Premium
Case 3313,Question,Gold
Case 1287,Question,Premium
Case 2677,Incident,Gold
Case 2840,Question,Gold
Case 2002,Question,Premium
Case 2801,Task,Premium
Case 339,Task,Premium
Case 212,Question,Gold
Case 4292,Question,Gold
Case 857,Task,Premium
Case 2719,Task,Premium
Case 2533,Question,Gold
Case 1898,Task,Premium
Case 968,Question,Gold
Case 1201,Question,Gold
Case 541,Question,Gold
Case 1835,Question,Premium
Case 1020,Task,Premium
Case 1591,Incident,Gold
Case 462,Incident,Gold
Case 1068,Task,Premium
Case 3107,Question,Premium
Case 1873,Incident,Premium
Case 479,Question,Gold
Case 3399,Question,Gold
Case 1316,Question,Gold
Case 2536,Incident,Premium
Case 2886,Question,Gold
Case 3434,Task,Premium
Case 3944,Incident,Gold
Case 4446,Question,Gold
Case 3159,Question,Gold
Case 2193,Incident,Gold
Case 3971,Task,Gold
Case 4055,Task,Premium
Case 3199,Task,Premium
Case 4013,Incident,Gold
Case 1125,Question,Gold
Case 241,Question,Gold
Case 1550,Question,Gold
Case 4460,Question,Gold
Case 2617,Task,Premium
Case 3161,Incident,Premium
Case 4403,Task,Premium
Case 1536,Incident,Gold
Case 152,Question,Gold
Case 1009,Task,Premium
Case 4373,Incident,Gold
Case 749,Incident,Premium
Case 3951,Incident,Gold
Case 1154,Question,Gold
Case 641,Task,Premium
Case 2623,Incident,Premium
Case 3781,Question,Gold
Case 1412,Question,Gold
Case 1992,Task,Premium
Case 3847,Task,Gold
Case 3713,Incident,Gold
Case 1526,Incident,Gold
