CASE ID,TICKET TYPE,MEMBERSHIP,PRIORITY,Performance class
"Case 312","Question","Gold","High","Medium"
"Case 3120","Question","Gold","Normal","Short"
"Case 3121","Task","Premium","Normal","Medium"
"Case 3122","Task","Premium","High","Short"
"Case 3123","Task","Gold","Normal","Medium"
"Case 3124","Question","Gold","High","Long"
"Case 3125","Question","Premium","Normal","Short"
"Case 3126","Task","Premium","High","Short"
"Case 3127","Question","Premium","Normal","Short"
"Case 3128","Incident","Premium","High","Short"
"Case 3129","Question","Premium","Normal","Medium"
"Case 313","Task","Gold","Normal","Medium"
"Case 3130","Task","Premium","Normal","Medium"
"Case 3131","Question","Premium","High","Long"
"Case 3132","Question","Gold","High","Short"
"Case 3133","Task","Premium","Normal","Short"
"Case 3134","Question","Premium","High","Short"
"Case 3135","Task","Premium","Normal","Long"
"Case 3136","Incident","Premium","High","Medium"
"Case 3137","Incident","Gold","Normal","Short"
"Case 3138","Task","Premium","Normal","Medium"
"Case 3139","Task","Gold","Normal","Short"
"Case 314","Question","Gold","High","Medium"
"Case 3140","Incident","Premium","Urgent","Short"
"Case 3141","Question","Gold","High","Short"
"Case 3142","Task","Gold","Normal","Medium"
"Case 3143","Incident","Premium","Normal","Medium"
"Case 3144","Question","Gold","High","Medium"
"Case 3145","Task","Premium","Normal","Medium"
"Case 3146","Question","Gold","High","Medium"
"Case 3147","Task","Premium","Normal","Medium"
"Case 3148","Task","Premium","Normal","Medium"
"Case 3149","Question","Gold","Normal","Medium"
"Case 315","Task","Premium","Normal","Medium"
"Case 3150","Task","Premium","Normal","Long"
"Case 3151","Task","Premium","Normal","Long"
"Case 3152","Task","Premium","Normal","Long"
"Case 3153","Question","Gold","Normal","Medium"
"Case 3154","Question","Gold","Normal","Short"
"Case 3155","Incident","Gold","Normal","Medium"
"Case 3156","Task","Premium","Normal","Medium"
"Case 3157","Task","Premium","Normal","Short"
"Case 3158","Question","Premium","High","Medium"
"Case 3159","Question","Gold","Normal","Medium"
"Case 316","Task","Premium","Urgent","Medium"
"Case 3160","Task","Gold","Normal","Short"
"Case 3161","Incident","Premium","Normal","Long"
"Case 3162","Task","Gold","Normal","Medium"
"Case 3163","Question","Gold","Normal","Medium"
"Case 3164","Task","Premium","Normal","Medium"
"Case 3165","Incident","Gold","High","Medium"
"Case 3166","Question","Gold","Normal","Long"
"Case 3167","Question","Gold","Normal","Short"
"Case 3168","Task","Premium","Normal","Long"
"Case 3169","Question","Gold","Normal","Medium"
"Case 317","Task","Gold","High","Medium"
"Case 3170","Task","Premium","Normal","Medium"
"Case 3171","Question","Gold","Normal","Long"
"Case 3172","Question","Premium","Normal","Long"
"Case 3173","Incident","Gold","High","Long"
"Case 3174","Question","Gold","Normal","Short"
"Case 3175","Task","Premium","High","Short"
"Case 3176","Task","Gold","Normal","Short"
"Case 3177","Question","Gold","High","Medium"
"Case 3178","Question","Gold","Normal","Long"
"Case 3179","Task","Premium","Normal","Long"
"Case 318","Question","Premium","High","Short"
"Case 3180","Question","Gold","Normal","Short"
"Case 3181","Incident","Premium","Normal","Short"
"Case 3182","Task","Premium","Normal","Short"
"Case 3183","Task","Premium","Normal","Medium"
"Case 3184","Task","Premium","High","Short"
"Case 3185","Question","Gold","Normal","Medium"
"Case 3186","Task","Premium","Normal","Medium"
"Case 3187","Question","Premium","Normal","Long"
"Case 3188","Question","Premium","Urgent","Short"
"Case 3189","Question","Gold","Normal","Medium"
"Case 319","Task","Premium","Normal","Medium"
"Case 3190","Incident","Gold","Normal","Long"
"Case 3191","Task","Premium","Normal","Long"
"Case 3192","Task","Premium","High","Long"
"Case 3193","Question","Gold","High","Short"
"Case 3194","Question","Gold","High","Short"
"Case 3195","Question","Gold","Normal","Short"
"Case 3196","Task","Premium","Normal","Long"
"Case 3197","Question","Premium","Normal","Short"
"Case 3198","Task","Premium","Normal","Long"
"Case 3199","Task","Premium","Normal","Medium"
"Case 32","Question","Gold","Normal","Medium"
"Case 320","Task","Premium","Normal","Medium"
"Case 3200","Question","Gold","Urgent","Medium"
"Case 3201","Task","Premium","Normal","Medium"
"Case 3202","Question","Premium","Normal","Short"
"Case 3203","Incident","Premium","High","Medium"
"Case 3204","Question","Premium","High","Short"
"Case 3205","Question","Gold","High","Short"
"Case 3206","Question","Gold","Normal","Short"
"Case 3207","Incident","Gold","Normal","Medium"
"Case 3208","Task","Gold","Normal","Long"
"Case 3209","Question","Gold","Normal","Short"
"Case 321","Task","Premium","Normal","Medium"
"Case 3210","Question","Gold","High","Medium"
"Case 3211","Task","Premium","Normal","Long"
"Case 3212","Task","Premium","Normal","Medium"
"Case 3213","Task","Premium","Normal","Medium"
"Case 3214","Task","Premium","Normal","Long"
"Case 3215","Task","Premium","Normal","Long"
"Case 3216","Incident","Premium","High","Medium"
"Case 3217","Task","Premium","Normal","Medium"
"Case 3218","Question","Gold","High","Short"
"Case 3219","Incident","Gold","Normal","Short"
"Case 322","Task","Premium","Urgent","Medium"
"Case 3220","Task","Premium","High","Long"
"Case 3221","Task","Gold","Normal","Short"
"Case 3222","Task","Premium","Normal","Long"
"Case 3223","Task","Premium","High","Long"
"Case 3224","Question","Gold","Urgent","Short"
"Case 3225","Task","Premium","Normal","Short"
"Case 3226","Question","Premium","High","Short"
"Case 3227","Question","Gold","Normal","Medium"
"Case 3228","Task","Premium","Normal","Medium"
"Case 3229","Question","Gold","Normal","Short"
"Case 323","Task","Premium","Normal","Medium"
"Case 3230","Question","Gold","Normal","Long"
"Case 3231","Task","Premium","Normal","Medium"
"Case 3232","Question","Gold","High","Medium"
"Case 3233","Task","Premium","Normal","Medium"
"Case 3234","Task","Gold","Normal","Medium"
"Case 3235","Question","Gold","High","Short"
"Case 3236","Question","Gold","Normal","Long"
"Case 3237","Question","Gold","Normal","Short"
"Case 3238","Question","Premium","Normal","Long"
"Case 3239","Task","Gold","Normal","Long"
"Case 324","Task","Premium","Normal","Short"
"Case 3240","Task","Gold","High","Short"
"Case 3241","Question","Premium","Urgent","Short"
"Case 3242","Question","Gold","Normal","Short"
"Case 3243","Question","Premium","Normal","Long"
"Case 3244","Task","Premium","Normal","Medium"
"Case 3245","Question","Gold","High","Medium"
"Case 3246","Question","Premium","High","Short"
"Case 3247","Question","Gold","Normal","Long"
"Case 3248","Question","Gold","High","Medium"
"Case 3249","Task","Premium","High","Long"
"Case 325","Task","Premium","High","Medium"
"Case 3250","Task","Premium","Normal","Medium"
"Case 3251","Task","Premium","High","Long"
"Case 3252","Task","Premium","Normal","Long"
"Case 3253","Task","Premium","Normal","Medium"
"Case 3254","Task","Premium","Normal","Long"
"Case 3255","Task","Premium","Normal","Long"
"Case 3256","Question","Premium","Normal","Short"
"Case 3257","Task","Premium","Normal","Long"
"Case 3258","Question","Gold","Normal","Short"
"Case 3259","Task","Premium","Normal","Short"
"Case 326","Task","Gold","Normal","Long"
"Case 3260","Question","Gold","Normal","Short"
"Case 3261","Question","Premium","Normal","Long"
"Case 3262","Task","Premium","High","Medium"
"Case 3263","Question","Premium","Normal","Long"
"Case 3264","Task","Premium","High","Medium"
"Case 3265","Incident","Premium","High","Short"
"Case 3266","Question","Gold","High","Medium"
"Case 3267","Question","Gold","Normal","Short"
"Case 3268","Question","Gold","Normal","Long"
"Case 3269","Question","Gold","Normal","Short"
"Case 327","Question","Gold","Normal","Short"
"Case 3270","Task","Premium","High","Medium"
"Case 3271","Task","Premium","Normal","Long"
"Case 3272","Question","Premium","High","Short"
"Case 3273","Question","Gold","Normal","Short"
"Case 3274","Task","Premium","Normal","Medium"
"Case 3275","Question","Gold","Normal","Short"
"Case 3276","Task","Premium","Normal","Long"
"Case 3277","Question","Gold","High","Medium"
"Case 3278","Question","Gold","Normal","Long"
"Case 3279","Task","Premium","High","Long"
"Case 328","Question","Gold","Normal","Short"
"Case 3280","Incident","Gold","Normal","Medium"
"Case 3281","Question","Gold","Normal","Medium"
"Case 3282","Question","Gold","Normal","Medium"
"Case 3283","Task","Premium","Normal","Short"
"Case 3284","Question","Gold","Normal","Medium"
"Case 3285","Question","Premium","Normal","Long"
"Case 3286","Task","Premium","Normal","Medium"
"Case 3287","Task","Premium","Normal","Medium"
"Case 3288","Task","Premium","Normal","Short"
"Case 3289","Task","Gold","High","Medium"
"Case 329","Task","Premium","Normal","Medium"
"Case 3290","Question","Gold","Normal","Long"
"Case 3291","Question","Gold","Normal","Medium"
"Case 3292","Question","Gold","Normal","Short"
"Case 3293","Task","Gold","Normal","Short"
"Case 3294","Question","Premium","Normal","Medium"
"Case 3295","Task","Premium","Normal","Medium"
"Case 3296","Task","Premium","Normal","Medium"
"Case 3297","Task","Gold","Urgent","Short"
"Case 3298","Incident","Premium","Normal","Short"
"Case 3299","Question","Gold","Normal","Long"
"Case 33","Task","Gold","High","Short"
"Case 330","Incident","Premium","High","Short"
"Case 3300","Task","Premium","Normal","Short"
"Case 3301","Incident","Gold","Normal","Medium"
"Case 3302","Question","Gold","Urgent","Short"
"Case 3303","Task","Premium","Normal","Long"
"Case 3304","Task","Premium","Normal","Long"
"Case 3305","Task","Premium","Normal","Long"
"Case 3306","Incident","Gold","High","Short"
"Case 3307","Task","Premium","Normal","Medium"
"Case 3308","Incident","Gold","Normal","Long"
"Case 3309","Question","Premium","Normal","Short"
"Case 331","Task","Premium","Normal","Medium"
"Case 3310","Question","Gold","Normal","Medium"
"Case 3311","Question","Premium","Normal","Medium"
"Case 3312","Question","Gold","High","Medium"
"Case 3313","Question","Gold","Normal","Short"
"Case 3314","Task","Gold","Normal","Short"
"Case 3315","Task","Premium","Normal","Short"
"Case 3316","Question","Gold","Normal","Medium"
"Case 3317","Question","Premium","Urgent","Short"
"Case 3318","Task","Premium","Normal","Long"
"Case 3319","Task","Premium","Normal","Long"
"Case 332","Incident","Premium","Normal","Long"
"Case 3320","Question","Gold","Normal","Long"
"Case 3321","Incident","Premium","High","Short"
"Case 3322","Question","Gold","Normal","Medium"
"Case 3323","Task","Premium","Normal","Long"
"Case 3324","Task","Premium","Normal","Medium"
"Case 3325","Task","Premium","Normal","Long"
"Case 3326","Incident","Premium","Normal","Long"
"Case 3327","Question","Gold","Normal","Medium"
"Case 3328","Question","Gold","High","Long"
"Case 3329","Question","Gold","Normal","Long"
"Case 333","Task","Premium","Normal","Medium"
"Case 3330","Question","Premium","High","Medium"
"Case 3331","Task","Premium","High","Medium"
"Case 3332","Question","Gold","Normal","Short"
"Case 3333","Task","Gold","Normal","Long"
"Case 3334","Task","Premium","Normal","Short"
"Case 3335","Task","Premium","Normal","Medium"
"Case 3336","Task","Premium","Normal","Medium"
"Case 3337","Task","Premium","Normal","Long"
"Case 3338","Task","Premium","Normal","Long"
"Case 3339","Question","Gold","Normal","Medium"
"Case 334","Task","Gold","Normal","Medium"
"Case 3340","Question","Gold","Normal","Short"
"Case 3341","Question","Gold","High","Medium"
"Case 3342","Task","Premium","Normal","Short"
"Case 3343","Incident","Gold","Normal","Long"
"Case 3344","Task","Premium","Urgent","Medium"
"Case 3345","Question","Gold","High","Medium"
"Case 3346","Task","Premium","Urgent","Medium"
"Case 3347","Incident","Premium","High","Long"
"Case 3348","Task","Premium","Normal","Medium"
"Case 3349","Task","Premium","Normal","Medium"
"Case 335","Question","Gold","High","Medium"
"Case 3350","Question","Gold","High","Medium"
"Case 3351","Task","Gold","Normal","Short"
"Case 3352","Task","Premium","High","Long"
"Case 3353","Incident","Premium","Normal","Medium"
"Case 3354","Task","Premium","Normal","Long"
"Case 3355","Task","Gold","High","Medium"
"Case 3356","Question","Gold","Normal","Medium"
"Case 3357","Question","Premium","Normal","Long"
"Case 3358","Task","Premium","Normal","Long"
"Case 3359","Task","Gold","Urgent","Short"
"Case 336","Task","Premium","Normal","Medium"
"Case 3360","Task","Premium","Normal","Medium"
"Case 3361","Task","Premium","Normal","Long"
"Case 3362","Task","Premium","Normal","Long"
"Case 3363","Question","Gold","High","Short"
"Case 3364","Question","Gold","Normal","Medium"
"Case 3365","Question","Gold","Normal","Short"
"Case 3366","Task","Premium","Normal","Medium"
"Case 3367","Question","Gold","Normal","Short"
"Case 3368","Question","Premium","Normal","Long"
"Case 3369","Question","Gold","Normal","Medium"
"Case 337","Task","Premium","Normal","Short"
"Case 3370","Task","Premium","Normal","Medium"
"Case 3371","Task","Premium","Urgent","Medium"
"Case 3372","Task","Premium","High","Medium"
"Case 3373","Task","Premium","Normal","Short"
"Case 3374","Question","Gold","Normal","Medium"
"Case 3375","Question","Gold","Normal","Short"
"Case 3376","Incident","Premium","Normal","Medium"
"Case 3377","Question","Gold","High","Short"
"Case 3378","Task","Premium","Normal","Short"
"Case 3379","Task","Premium","Normal","Short"
"Case 338","Question","Gold","High","Long"
"Case 3380","Question","Gold","Normal","Medium"
"Case 3381","Question","Gold","High","Long"
"Case 3382","Task","Premium","Normal","Medium"
"Case 3383","Question","Gold","Normal","Long"
"Case 3384","Task","Gold","Normal","Long"
"Case 3385","Task","Premium","Normal","Short"
"Case 3386","Incident","Premium","High","Short"
"Case 3387","Question","Gold","High","Long"
"Case 3388","Task","Premium","Normal","Medium"
"Case 3389","Question","Gold","Normal","Short"
"Case 339","Task","Premium","Normal","Short"
"Case 3390","Task","Premium","Normal","Long"
"Case 3391","Question","Premium","Normal","Short"
"Case 3392","Question","Gold","Normal","Short"
"Case 3393","Question","Gold","Normal","Long"
"Case 3394","Question","Gold","Normal","Long"
"Case 3395","Task","Premium","High","Long"
"Case 3396","Question","Gold","Normal","Short"
"Case 3397","Question","Gold","High","Long"
"Case 3398","Question","Premium","Normal","Short"
"Case 3399","Question","Gold","High","Short"
"Case 34","Task","Premium","Urgent","Medium"
"Case 340","Question","Premium","Normal","Long"
"Case 3400","Incident","Gold","Normal","Long"
"Case 3401","Question","Premium","Normal","Short"
"Case 3402","Question","Gold","Normal","Medium"
"Case 3403","Task","Gold","Normal","Long"
"Case 3404","Question","Gold","High","Short"
"Case 3405","Question","Premium","Normal","Long"
"Case 3406","Task","Premium","High","Medium"
"Case 3407","Question","Gold","Normal","Short"
"Case 3408","Task","Premium","Normal","Long"
"Case 3409","Question","Premium","High","Long"
"Case 341","Question","Gold","High","Long"
"Case 3410","Task","Premium","Normal","Medium"
"Case 3411","Question","Premium","Normal","Medium"
"Case 3412","Question","Gold","High","Short"
"Case 3413","Task","Premium","Normal","Medium"
"Case 3414","Question","Gold","Normal","Long"
"Case 3415","Question","Gold","Normal","Medium"
"Case 3416","Incident","Gold","High","Medium"
"Case 3417","Question","Gold","Normal","Long"
"Case 3418","Task","Premium","Normal","Medium"
"Case 3419","Question","Gold","Normal","Short"
"Case 342","Task","Premium","Normal","Medium"
"Case 3420","Incident","Premium","Normal","Medium"
"Case 3421","Task","Premium","High","Medium"
"Case 3422","Incident","Gold","Normal","Short"
"Case 3423","Task","Premium","High","Short"
"Case 3424","Task","Premium","Normal","Long"
"Case 3425","Question","Premium","High","Medium"
"Case 3426","Task","Premium","Normal","Long"
"Case 3427","Incident","Gold","Normal","Long"
"Case 3428","Task","Premium","Urgent","Medium"
"Case 3429","Task","Gold","High","Short"
"Case 343","Task","Premium","Normal","Medium"
"Case 3430","Task","Premium","Normal","Short"
"Case 3431","Question","Gold","Urgent","Short"
"Case 3432","Task","Premium","High","Medium"
"Case 3433","Question","Premium","Normal","Medium"
"Case 3434","Task","Premium","Normal","Long"
"Case 3435","Question","Gold","High","Medium"
"Case 3436","Task","Premium","Normal","Medium"
"Case 3437","Question","Gold","Normal","Long"
"Case 3438","Task","Gold","Normal","Short"
"Case 3439","Incident","Premium","Normal","Short"
"Case 344","Incident","Gold","Normal","Short"
"Case 3440","Task","Premium","High","Long"
"Case 3441","Task","Premium","Normal","Long"
"Case 3442","Task","Premium","Normal","Medium"
"Case 3443","Task","Premium","Normal","Medium"
"Case 3444","Task","Premium","High","Long"
"Case 3445","Incident","Gold","Normal","Short"
"Case 3446","Question","Gold","Normal","Long"
"Case 3447","Question","Gold","Normal","Short"
"Case 3448","Task","Premium","Normal","Short"
"Case 3449","Task","Premium","Normal","Long"
"Case 345","Task","Premium","Normal","Short"
"Case 3450","Task","Premium","Normal","Long"
"Case 3451","Question","Gold","Normal","Long"
"Case 3452","Incident","Gold","Normal","Medium"
"Case 3453","Question","Premium","Normal","Long"
"Case 3454","Task","Gold","Normal","Medium"
"Case 3455","Question","Gold","High","Long"
"Case 3456","Task","Gold","Normal","Medium"
"Case 3457","Task","Premium","Normal","Long"
"Case 3458","Question","Gold","Normal","Short"
"Case 3459","Question","Premium","Normal","Short"
"Case 346","Task","Premium","Normal","Long"
"Case 3460","Question","Premium","Normal","Medium"
"Case 3461","Question","Gold","Normal","Long"
"Case 3462","Task","Premium","Normal","Medium"
"Case 3463","Question","Gold","High","Medium"
"Case 3464","Task","Premium","Urgent","Medium"
"Case 3465","Task","Premium","Normal","Short"
"Case 3466","Incident","Gold","Normal","Long"
"Case 3467","Task","Premium","Normal","Short"
"Case 3468","Question","Gold","Urgent","Medium"
"Case 3469","Question","Gold","Normal","Long"
"Case 347","Task","Premium","High","Short"
"Case 3470","Incident","Premium","High","Medium"
"Case 3471","Incident","Premium","High","Short"
"Case 3472","Incident","Premium","Normal","Medium"
"Case 3473","Question","Gold","High","Long"
"Case 3474","Question","Gold","Normal","Long"
"Case 3475","Question","Gold","Normal","Long"
"Case 3476","Incident","Gold","Normal","Long"
"Case 3477","Incident","Gold","High","Long"
"Case 3478","Incident","Gold","Normal","Short"
"Case 3479","Task","Premium","Normal","Long"
"Case 348","Task","Premium","Normal","Short"
"Case 3480","Question","Gold","Normal","Long"
"Case 3481","Question","Gold","Normal","Medium"
"Case 3482","Task","Premium","Normal","Long"
"Case 3483","Question","Gold","Normal","Short"
"Case 3484","Question","Gold","High","Medium"
"Case 3485","Question","Gold","Normal","Short"
"Case 3486","Task","Gold","Normal","Medium"
"Case 3487","Question","Gold","Normal","Medium"
"Case 3488","Question","Gold","Normal","Medium"
"Case 3489","Question","Premium","High","Long"
"Case 349","Task","Premium","Normal","Medium"
"Case 3490","Task","Premium","Normal","Medium"
"Case 3491","Question","Gold","High","Short"
"Case 3492","Question","Gold","Normal","Medium"
"Case 3493","Question","Gold","Normal","Short"
"Case 3494","Task","Gold","Normal","Medium"
"Case 3495","Question","Gold","High","Long"
"Case 3496","Task","Gold","Normal","Medium"
"Case 3497","Incident","Gold","Normal","Long"
"Case 3498","Question","Premium","Normal","Short"
"Case 3499","Question","Gold","High","Medium"
"Case 35","Question","Gold","Normal","Long"
"Case 350","Task","Premium","Normal","Long"
"Case 3500","Task","Premium","Normal","Medium"
"Case 3501","Question","Gold","Normal","Long"
"Case 3502","Question","Premium","Normal","Medium"
"Case 3503","Incident","Premium","Normal","Long"
"Case 3504","Task","Premium","Normal","Medium"
"Case 3505","Task","Premium","Normal","Medium"
"Case 3506","Task","Premium","Normal","Medium"
"Case 3507","Task","Premium","High","Short"
"Case 3508","Task","Gold","Normal","Long"
"Case 3509","Task","Premium","Normal","Long"
"Case 351","Task","Premium","Normal","Long"
"Case 3510","Task","Premium","Normal","Short"
"Case 3511","Question","Gold","Normal","Short"
"Case 3512","Task","Premium","High","Short"
"Case 3513","Task","Gold","High","Medium"
"Case 3514","Question","Gold","Normal","Long"
"Case 3515","Task","Gold","Normal","Long"
"Case 3516","Task","Premium","Normal","Medium"
"Case 3517","Task","Gold","Normal","Short"
"Case 3518","Incident","Premium","Normal","Short"
"Case 3519","Question","Premium","Urgent","Long"
"Case 352","Question","Gold","High","Short"
"Case 3520","Question","Gold","High","Short"
"Case 3521","Question","Gold","Normal","Short"
"Case 3522","Question","Gold","High","Medium"
"Case 3523","Task","Premium","Normal","Long"
"Case 3524","Question","Gold","High","Medium"
"Case 3525","Question","Premium","Normal","Medium"
"Case 3526","Task","Premium","Normal","Medium"
"Case 3527","Task","Premium","Normal","Medium"
"Case 3528","Incident","Gold","High","Short"
"Case 3529","Task","Premium","Normal","Long"
"Case 353","Incident","Gold","Normal","Long"
"Case 3530","Task","Premium","Normal","Medium"
"Case 3531","Task","Premium","Normal","Medium"
"Case 3532","Task","Premium","High","Medium"
"Case 3533","Question","Premium","High","Medium"
"Case 3534","Task","Premium","High","Short"
"Case 3535","Task","Premium","Normal","Long"
"Case 3536","Question","Premium","Urgent","Long"
"Case 3537","Incident","Premium","Normal","Long"
"Case 3538","Task","Premium","Normal","Medium"
"Case 3539","Task","Premium","Normal","Short"
"Case 354","Incident","Gold","High","Medium"
"Case 3540","Question","Gold","High","Long"
"Case 3541","Question","Gold","Normal","Long"
"Case 3542","Task","Premium","Normal","Medium"
"Case 3543","Task","Premium","Normal","Long"
"Case 3544","Incident","Premium","High","Short"
"Case 3545","Task","Premium","Normal","Long"
"Case 3546","Task","Premium","Normal","Medium"
"Case 3547","Question","Gold","High","Medium"
"Case 3548","Question","Gold","Normal","Medium"
"Case 3549","Question","Premium","Normal","Medium"
"Case 355","Task","Premium","High","Medium"
"Case 3550","Question","Gold","Normal","Medium"
"Case 3551","Incident","Premium","Normal","Short"
"Case 3552","Incident","Premium","Normal","Short"
"Case 3553","Task","Premium","Normal","Medium"
"Case 3554","Question","Gold","Normal","Medium"
"Case 3555","Task","Premium","Normal","Medium"
"Case 3556","Question","Gold","Normal","Short"
"Case 3557","Task","Premium","Normal","Long"
"Case 3558","Question","Premium","High","Medium"
"Case 3559","Question","Premium","Urgent","Medium"
"Case 356","Question","Premium","Urgent","Long"
"Case 3560","Question","Gold","Normal","Short"
"Case 3561","Task","Premium","Normal","Short"
"Case 3562","Task","Gold","High","Short"
"Case 3563","Task","Premium","Normal","Short"
"Case 3564","Question","Gold","Normal","Long"
"Case 3565","Task","Premium","Normal","Medium"
"Case 3566","Question","Premium","Normal","Long"
"Case 3567","Task","Premium","Normal","Medium"
"Case 3568","Task","Premium","Normal","Long"
"Case 3569","Task","Premium","Normal","Long"
"Case 357","Question","Gold","Normal","Long"
"Case 3570","Question","Gold","High","Medium"
"Case 3571","Task","Premium","High","Medium"
"Case 3572","Task","Premium","Normal","Short"
"Case 3573","Question","Gold","Normal","Long"
"Case 3574","Question","Gold","High","Long"
"Case 3575","Question","Gold","High","Medium"
"Case 3576","Question","Gold","Normal","Long"
"Case 3577","Question","Gold","High","Short"
"Case 3578","Task","Premium","Urgent","Long"
"Case 3579","Incident","Premium","Normal","Long"
"Case 358","Question","Gold","Normal","Long"
"Case 3580","Task","Premium","Normal","Medium"
"Case 3581","Question","Gold","High","Short"
"Case 3582","Task","Premium","Normal","Medium"
"Case 3583","Incident","Premium","Normal","Medium"
"Case 3584","Question","Premium","Normal","Long"
"Case 3585","Incident","Premium","Normal","Medium"
"Case 3586","Task","Gold","Normal","Medium"
"Case 3587","Question","Premium","Normal","Long"
"Case 3588","Question","Gold","Normal","Medium"
"Case 3589","Incident","Gold","High","Medium"
"Case 359","Task","Premium","Normal","Medium"
"Case 3590","Task","Premium","High","Medium"
"Case 3591","Question","Gold","Normal","Short"
"Case 3592","Task","Premium","Normal","Short"
"Case 3593","Incident","Premium","Normal","Medium"
"Case 3594","Task","Premium","Normal","Long"
"Case 3595","Task","Premium","High","Short"
"Case 3596","Question","Gold","Normal","Medium"
"Case 3597","Task","Gold","High","Medium"
"Case 3598","Question","Premium","High","Medium"
"Case 3599","Task","Gold","Normal","Short"
"Case 36","Question","Gold","Normal","Short"
"Case 360","Task","Premium","Normal","Long"
"Case 3600","Task","Premium","Normal","Short"
"Case 3601","Incident","Premium","Normal","Medium"
"Case 3602","Question","Gold","High","Medium"
"Case 3603","Task","Premium","Normal","Short"
"Case 3604","Question","Gold","High","Long"
"Case 3605","Incident","Premium","Normal","Long"
"Case 3606","Task","Premium","Normal","Medium"
"Case 3607","Task","Premium","Normal","Medium"
"Case 3608","Question","Premium","High","Short"
"Case 3609","Question","Gold","Normal","Medium"
"Case 361","Task","Premium","Normal","Long"
"Case 3610","Question","Gold","Urgent","Short"
"Case 3611","Question","Gold","Normal","Short"
"Case 3612","Question","Gold","High","Short"
"Case 3613","Task","Premium","Normal","Medium"
"Case 3614","Task","Premium","Normal","Long"
"Case 3615","Question","Gold","Normal","Short"
"Case 3616","Question","Premium","High","Medium"
"Case 3617","Question","Gold","Normal","Long"
"Case 3618","Question","Gold","Normal","Long"
"Case 3619","Task","Premium","High","Long"
"Case 362","Task","Premium","Normal","Long"
"Case 3620","Question","Gold","Normal","Long"
"Case 3621","Question","Gold","Normal","Medium"
"Case 3622","Question","Gold","Normal","Short"
"Case 3623","Question","Premium","Normal","Medium"
"Case 3624","Question","Gold","High","Long"
"Case 3625","Task","Premium","High","Medium"
"Case 3626","Incident","Premium","High","Short"
"Case 3627","Question","Gold","Normal","Medium"
"Case 3628","Question","Gold","Normal","Long"
"Case 3629","Incident","Gold","Normal","Long"
"Case 363","Question","Premium","High","Short"
"Case 3630","Task","Premium","Normal","Medium"
"Case 3631","Question","Gold","Normal","Medium"
"Case 3632","Task","Premium","High","Long"
"Case 3633","Question","Gold","Normal","Medium"
"Case 3634","Task","Premium","Normal","Medium"
"Case 3635","Question","Gold","Normal","Short"
"Case 3636","Question","Gold","High","Short"
"Case 3637","Task","Premium","High","Medium"
"Case 3638","Question","Gold","Normal","Medium"
"Case 3639","Question","Gold","Normal","Medium"
"Case 364","Task","Premium","Normal","Medium"
"Case 3640","Question","Gold","Normal","Short"
"Case 3641","Task","Premium","Normal","Medium"
"Case 3642","Task","Premium","Normal","Medium"
"Case 3643","Task","Premium","Normal","Medium"
"Case 3644","Question","Premium","Normal","Medium"
"Case 3645","Task","Premium","Normal","Long"
"Case 3646","Question","Premium","Normal","Medium"
"Case 3647","Question","Premium","Normal","Medium"
"Case 3648","Question","Gold","Normal","Long"
"Case 3649","Question","Gold","High","Short"
"Case 365","Question","Gold","High","Medium"
"Case 3650","Task","Premium","High","Medium"
"Case 3651","Question","Gold","Normal","Medium"
"Case 3652","Question","Gold","Normal","Long"
"Case 3653","Task","Premium","Normal","Short"
"Case 3654","Task","Gold","Normal","Medium"
"Case 3655","Incident","Premium","Normal","Short"
"Case 3656","Task","Premium","Normal","Medium"
"Case 3657","Task","Premium","Normal","Medium"
"Case 3658","Question","Premium","Normal","Long"
"Case 3659","Task","Premium","Normal","Long"
"Case 366","Task","Premium","Urgent","Short"
"Case 3660","Question","Gold","High","Long"
"Case 3661","Task","Premium","Normal","Medium"
"Case 3662","Task","Premium","Normal","Medium"
"Case 3663","Incident","Premium","Normal","Long"
"Case 3664","Incident","Gold","Normal","Long"
"Case 3665","Task","Gold","Normal","Long"
"Case 3666","Task","Premium","Normal","Medium"
"Case 3667","Question","Gold","Normal","Medium"
"Case 3668","Question","Premium","Urgent","Long"
"Case 3669","Task","Premium","Normal","Medium"
"Case 367","Task","Premium","Normal","Medium"
"Case 3670","Task","Premium","Normal","Short"
"Case 3671","Question","Gold","Normal","Medium"
"Case 3672","Question","Gold","Normal","Short"
"Case 3673","Task","Premium","High","Short"
"Case 3674","Task","Premium","Normal","Medium"
"Case 3675","Task","Premium","High","Short"
"Case 3676","Task","Premium","Urgent","Medium"
"Case 3677","Question","Gold","Normal","Medium"
"Case 3678","Task","Premium","Normal","Medium"
"Case 3679","Task","Gold","Normal","Short"
"Case 368","Task","Premium","Urgent","Long"
"Case 3680","Task","Premium","Normal","Medium"
"Case 3681","Task","Premium","High","Medium"
"Case 3682","Question","Gold","Normal","Medium"
"Case 3683","Question","Gold","High","Short"
"Case 3684","Question","Gold","High","Short"
"Case 3685","Task","Premium","Normal","Medium"
"Case 3686","Question","Gold","High","Short"
"Case 3687","Task","Premium","Normal","Long"
"Case 3688","Task","Premium","Normal","Long"
"Case 3689","Task","Premium","Normal","Medium"
"Case 369","Question","Gold","Normal","Long"
"Case 3690","Task","Gold","High","Long"
"Case 3691","Task","Premium","High","Long"
